30	20																		
																			
-20	-15	24	3	34	-1	-17	-16	-8	34	27	29	-1	38	17	9	-13	21	17	18
-1	22	2	20	7	-6	-9	2	3	3	6	26	20	5	-10	30	1	3	-7	1
17	34	-5	-12	-10	26	-1	-5	17	-10	22	-1	-7	-6	-12	17	10	29	-17	27
-8	35	25	-20	10	13	-9	0	18	35	9	25	1	24	36	18	32	34	14	-16
-8	30	35	35	-10	-15	-5	14	-10	4	37	-5	-7	18	-10	2	1	-12	1	39
9	-5	-13	-3	-14	30	18	38	-13	-18	-12	9	31	11	-1	-11	31	34	20	25
25	-5	30	40	-18	11	8	-14	-18	3	0	-10	16	7	-19	8	31	-8	-6	37
36	33	-4	16	19	37	4	3	32	-15	-10	-17	-6	1	33	12	14	27	10	36
39	-14	12	3	31	17	-5	1	30	-13	38	25	-17	-4	-5	-18	19	30	15	27
-7	19	10	-17	-14	-12	-10	12	18	-2	-17	2	19	-3	31	-2	30	31	10	14
25	-13	-9	-14	26	-17	20	8	5	19	1	4	34	27	4	29	0	21	-17	6
-7	35	9	5	14	-13	-7	30	23	6	23	36	-1	-2	0	2	25	27	-1	32
-8	40	25	-5	32	36	40	32	-17	-1	-15	35	2	16	-8	4	5	-17	36	28
21	-1	32	32	13	20	36	25	8	-14	-11	-11	30	-14	31	6	20	37	33	-1
36	-10	20	36	-13	18	17	11	4	39	16	11	18	26	3	-12	34	1	35	-18
-3	-13	27	-15	7	14	19	7	33	-8	27	-20	36	12	2	6	6	-9	23	-10
21	4	0	6	39	14	33	17	-18	13	28	3	3	16	-7	0	26	3	2	22
4	26	18	20	-6	-6	15	16	25	34	22	34	32	-2	-3	3	0	38	1	39
8	0	19	21	26	26	33	18	23	20	27	7	28	39	11	5	-19	33	-8	31
8	9	27	37	25	17	-15	34	27	28	10	20	-20	-16	0	10	34	-8	38	2
-10	-19	39	35	36	35	-20	18	1	-7	2	-13	31	-14	19	37	8	33	38	12
22	-10	-5	22	9	-5	-20	-4	36	27	-3	14	0	-6	-17	37	27	-9	7	23
13	18	-1	13	28	21	30	-13	-12	22	20	36	3	6	17	-18	34	26	29	38
-12	-15	-1	8	-14	26	19	0	24	-6	4	17	0	7	34	35	33	2	1	-7
-8	-4	7	-7	-4	6	32	26	39	10	-5	-2	-12	-14	-6	10	40	-12	2	14
31	17	18	32	7	14	-2	6	-13	18	35	-9	16	24	16	20	-3	11	39	35
24	14	16	12	34	23	24	38	-9	13	39	17	-20	16	31	-12	3	-10	14	21
21	33	-19	-2	27	23	11	8	-16	8	30	20	4	27	32	1	33	37	33	-12
17	-18	29	-19	28	16	16	-1	17	-7	27	-13	-17	-15	-13	22	6	36	13	31
-16	-1	17	29	-20	13	31	-6	33	1	38	29	19	39	7	-9	-7	-3	31	-18
																			
20	27	27	17	16	38	10	32	23	10	-12	19	32	12	7	28	22	6	33	-16
-7	24	22	34	15	-11	-20	2	-4	21	14	27	11	22	13	-16	22	11	10	4
-9	28	-14	17	-5	26	31	-16	32	32	15	24	-1	39	0	27	-5	5	18	27
-19	35	24	38	25	17	2	17	28	-10	-5	0	-20	11	30	-13	-5	7	28	29
31	-15	0	-1	-4	13	-18	34	-2	-17	33	34	-6	-5	-17	-11	-11	-5	36	-7
8	13	4	-20	-2	9	23	3	-5	-8	26	-20	-1	10	33	-1	20	29	10	-10
-11	39	9	34	18	19	-20	-4	-10	25	-17	18	18	22	-14	7	-3	-12	4	39
-17	19	-2	-3	-12	31	-19	-20	23	-5	22	5	21	14	-12	-3	1	5	34	-20
14	-7	9	5	3	1	-3	27	35	26	22	3	34	-1	-17	-3	17	10	33	13
-14	-10	1	17	37	-15	4	38	5	-1	-1	9	38	-9	-15	-4	25	-20	37	31
32	6	17	32	-6	-3	14	21	10	19	27	-1	-9	27	-16	37	5	38	-13	26
23	11	24	-4	23	13	38	37	-18	15	23	27	15	29	22	-13	-19	-17	17	37
19	34	-10	-8	31	32	6	25	-9	2	-11	-13	12	5	-10	-1	29	26	17	-7
26	14	31	29	30	25	29	33	39	9	10	-19	21	40	10	34	40	-1	-15	15
-2	-17	27	-13	-7	31	6	7	36	-20	-1	-5	26	5	15	20	36	7	-12	-5
-6	34	33	34	-1	37	7	14	18	-3	20	3	26	-8	16	30	1	-15	1	35
8	-6	28	-5	4	-13	-13	37	40	26	-9	-8	24	-8	14	-5	21	-6	23	29
-5	-14	-4	28	5	4	-10	4	-20	19	16	4	-14	5	23	-11	-12	-3	29	21
37	-3	-11	-15	-4	-11	-8	-12	-12	14	-2	23	9	36	32	24	22	-4	4	18
1	39	22	10	29	-2	-3	38	7	22	27	-4	-11	23	-12	26	3	26	31	-3
27	21	25	-14	-11	-4	30	12	19	-10	9	-8	-3	17	35	30	23	20	-14	-17
-1	1	26	11	15	36	-2	25	38	14	14	-5	-10	14	2	-15	14	39	16	12
-12	18	23	-11	20	33	22	17	28	17	-1	30	31	16	-18	34	7	12	5	40
36	13	16	15	7	-5	14	18	2	-1	22	29	1	25	1	38	18	22	20	15
10	7	26	-15	-17	-13	6	24	25	7	21	26	-3	29	23	9	-4	31	-12	-11
37	21	17	36	20	7	-19	6	-20	28	-13	13	3	22	-2	35	23	16	-11	-12
4	20	19	-6	-7	-9	11	-14	2	14	17	40	38	31	-6	38	16	-3	37	31
-8	14	5	24	34	9	37	37	-5	-4	-10	26	-7	-19	6	8	-12	2	-1	-7
20	-17	26	30	32	4	-10	27	26	-10	-13	5	-3	15	-17	-6	-9	23	25	31
0	-16	21	16	31	33	-8	35	-19	-19	-12	-18	1	13	3	-14	33	2	2	14
